Submitted_Headline_1,Prefill_Suggested_Headline_1,Suggested_Headline_1_Option1,Suggested_Headline_1_Option2,Suggested_Headline_1_Option3,Submitted_Headline_2,Prefill_Suggested_Headline_2,Suggested_Headline_2_Option1,Suggested_Headline_2_Option2,Suggested_Headline_2_Option3,Submitted_Description,Prefill_Suggested_Description,Suggested_Description_Option1,Suggested_Description_Option2,Suggested_Description_Option3,Submitted_Path_1,Prefill_Suggested_Path_1,Suggested_Path_1_Option1,Suggested_Path_1_Option2,Suggested_Path_1_Option3,Submitted_Path_2,Prefill_Suggested_Path_2,Suggested_Path_2_Option1,Suggested_Path_2_Option2,Suggested_Path_2_Option3,Submitted_Status,Submitted_Time,Submitted_Writer
""Lego Pieces - Customer Support"",""Customer Service"",NULL,NULL,NULL,""Bricks & Pieces"",""Need a Lego?"",NULL,NULL,NULL,""Assortment of Replacement Lego Pieces for Old Broken Bricks. Order Online Now!"",""Bricks & Pieces {{Bagdata.Bricks.Length}}"",NULL,NULL,NULL,""Lego-Pieces"",""lego-pieces"",NULL,NULL,NULL,""Replacements"","""",NULL,NULL,NULL,Completed,"2017-11-17 13:12:05",NicoleYoung
""24 Hour Fitness"",""24 Hour Fitness"",NULL,NULL,NULL,""Dance & Fitness Classes"",""24 Hour Fitness Is The Perfect Gym For People Who Want It All:\nThe Best Fitness Classes, Premium Gym Amenities And Much More.\nTry A 24 Hour Fitness Gym Near You."",NULL,NULL,NULL,""Fitness Dance Classes are Perfect for Those Looking for Fun Workouts. Join Now!"",""Gym Memberships And Personal Training | 24 Hour Fitness"",NULL,NULL,NULL,""24-Hour-Fitness"",""24-hour-fitness"",NULL,NULL,NULL,""24-Hour"",""24-hour"",NULL,NULL,NULL,Completed,"2017-11-17 13:09:40",kennedy
""24 Hour Fitness"",""24 Hour Fitness"",NULL,NULL,NULL,""Dance Fitness Classes"",""24 Hour Fitness Is The Perfect Gym For People Who Want It All:\nThe Best Fitness Classes, Premium Gym Amenities And Much More.\nTry A 24 Hour Fitness Gym Near You."",NULL,NULL,NULL,""24 Hour Fitness Offers a Fun Workout Program for Everyone. Become a Member!"",""Gym Memberships And Personal Training | 24 Hour Fitness"",NULL,NULL,NULL,""Dance-Fitness"",""24-hour-fitness"",NULL,NULL,NULL,""Classes"",""24-hour"",NULL,NULL,NULL,Completed,"2017-11-17 13:01:02",kennedy
""24 Hour Fitness"",""24 Hour Fitness"",NULL,NULL,NULL,""Fitness Class Parties"",""Find Your Local 24 Hour Fitness Gym"",NULL,NULL,NULL,""Our Fitness Class Parties Helps to Boost Your Fitness Level. Become a Member!"",""Gym Memberships And Personal Training | 24 Hour Fitness"",NULL,NULL,NULL,""Fitness-Class"",""24-hour-fitness"",NULL,NULL,NULL,""Parties"",""fitness-classes"",NULL,NULL,NULL,Completed,"2017-11-17 12:53:59",kennedy
""24 Hour Fitness"",""24 Hour Fitness"",NULL,NULL,NULL,""Stretch Release Workout"",""24 Hour Fitness Is The Perfect Gym For People Who Want It All:\nThe Best Fitness Classes, Premium Gym Amenities And Much More.\nTry A 24 Hour Fitness Gym Near You."",NULL,NULL,NULL,""Stretch Release Workout Helps to Improve Posture and Strength. Join Today!"",""Gym Memberships And Personal Training | 24 Hour Fitness"",NULL,NULL,NULL,""Stretch"",""fitness-classes"",NULL,NULL,NULL,""Release-Workout"",""24-hour"",NULL,NULL,NULL,Completed,"2017-11-17 12:44:15",kennedy
""Playbill® Performers Trip"",""Latest Galleries"",NULL,NULL,NULL,""Broadway's Talented Stars"",""Playbill Home"",NULL,NULL,NULL,""Playbill® Offers Iceland Trips Along with Broadway's Stars. Browse for Details!"",""News, Features, Performance Listings For Broadway, Off-Broadway"",NULL,NULL,NULL,""Travel"",""theatre"",NULL,NULL,NULL,""Performers"",""broadway"",NULL,NULL,NULL,Completed,"2017-11-17 12:37:30",NathanielCruz
""24 Hour Fitness"",""24 Hour Fitness"",NULL,NULL,NULL,""Energy Stretch Workout"",""24 Hour Fitness Is The Perfect Gym For People Who Want It All:\nThe Best Fitness Classes, Premium Gym Amenities And Much More.\nTry A 24 Hour Fitness Gym Near You."",NULL,NULL,NULL,""Helps to Release Muscle Tension & Promotes Energy Flow. Join 24 Hour Fitness!"",""Gym Memberships And Personal Training | 24 Hour Fitness"",NULL,NULL,NULL,""Energy-Stretch"",""fitness-classes"",NULL,NULL,NULL,""Workout"",""24-hour-fitness"",NULL,NULL,NULL,Completed,"2017-11-17 12:36:11",kennedy
""Playbill® Travel Experience"",""Latest Galleries"",NULL,NULL,NULL,""Broadway on the High Seas"",""Featured Shows"",NULL,NULL,NULL,""Playbill® Offers Cruise Trips from Broadway to Iceland. Browse for Details!"",""Playbill: Broadway, Off-Broadway, London News, Listings And Tickets"",NULL,NULL,NULL,""Travel"",""broadway"",NULL,NULL,NULL,""Cruise_Trip"",""off-broadway"",NULL,NULL,NULL,Completed,"2017-11-17 12:30:07",NathanielCruz
""24 Hour Fitness"",""24 Hour Fitness"",NULL,NULL,NULL,""SilverSneakers Classes"",""Find Your Local 24 Hour Fitness Gym"",NULL,NULL,NULL,""SilverSneakers Yoga Helps to Improve Your Physical and Mental Health. Join Now!"",""Gym Memberships And Personal Training | 24 Hour Fitness"",NULL,NULL,NULL,""Fitness-Classes"",""fitness-classes"",NULL,NULL,NULL,""Yoga"",""gyms-near-me"",NULL,NULL,NULL,Completed,"2017-11-17 12:27:26",kennedy
""What Movies are Playing?"",""Movies In Theaters"",NULL,NULL,NULL,""Lady Bird Movie Review"",""Certified Fresh Picks"",NULL,NULL,NULL,""Rotten Tomatoes Gave 100% Rating for the Movie Lady Bird. Watch It in Theaters!"",""Rotten Tomatoes: Movies | Tv Shows | Movie Trailers | Reviews"",NULL,NULL,NULL,""Box_Office"",""what-movies"",NULL,NULL,NULL,""Big_Movies"","""",NULL,NULL,NULL,Rejected,"2017-11-17 12:18:32",FrankieEvans
""24 Hour Fitness"",""24 Hour Fitness"",NULL,NULL,NULL,""Hatha Blend Yoga"",""Find Your Local 24 Hour Fitness Gym"",NULL,NULL,NULL,""Our Hatha Blend Yoga Classes Helps to Master Your Mind and Body. Join Today!"",""Gym Memberships And Personal Training | 24 Hour Fitness"",NULL,NULL,NULL,""Hatha-Blend"",""24-hour"",NULL,NULL,NULL,""Yoga-Classes"",""24-hour-fitness"",NULL,NULL,NULL,Completed,"2017-11-17 12:14:32",kennedy
""What Movies are Playing?"",""Trailers & Videos"",NULL,NULL,NULL,""Rotten Tomatoes Site"",""Certified Fresh Picks"",NULL,NULL,NULL,""Certified Fresh Box Office Movies Reviewed at Rotten Tomatoes. Check Out Now!"",""Rotten Tomatoes: Movies | Tv Shows | Movie Trailers | Reviews"",NULL,NULL,NULL,""Big_Movies"",""what-movies"",NULL,NULL,NULL,""Box_Office"","""",NULL,NULL,NULL,Rejected,"2017-11-17 12:14:26",FrankieEvans
""What Movies are Playing?"",""Certified Fresh Picks"",NULL,NULL,NULL,""Box Office Movies"",""From The Critics"",NULL,NULL,NULL,""Exciting New Box Office Movies are Listed at Rotten Tomatoes. View All Now!"",""Rotten Tomatoes: Movies | Tv Shows | Movie Trailers | Reviews"",NULL,NULL,NULL,""Big_Movies"",""what-movies"",NULL,NULL,NULL,""Box_Office"","""",NULL,NULL,NULL,Rejected,"2017-11-17 12:12:30",FrankieEvans
""Show Tickets in Playbill®"",""Latest Galleries"",NULL,NULL,NULL,""Stage Shows from Broadway"",""Featured Shows"",NULL,NULL,NULL,""Broadway Stage Show Tickets are Available in Playbill®. Buy Your Tickets Now!"",""News, Features, Performance Listings For Broadway, Off-Broadway"",NULL,NULL,NULL,""Reviews"",""reviews"",NULL,NULL,NULL,""Playbill"",""playbill"",NULL,NULL,NULL,Completed,"2017-11-17 12:06:29",NathanielCruz
""24 Hour Fitness"",""24 Hour Fitness"",NULL,NULL,NULL,""Crunch Time Workout"",""Find Your Local 24 Hour Fitness Gym"",NULL,NULL,NULL,""Our Crunch Time Workout is Designed to Fit into Your Busy Schedule. Join Today!"",""Gym Memberships And Personal Training | 24 Hour Fitness"",NULL,NULL,NULL,""Strength"",""24-hour-fitness"",NULL,NULL,NULL,""Crunch-Time"",""24-hour"",NULL,NULL,NULL,Completed,"2017-11-17 11:59:27",kennedy
""24 Hour Fitness"",""24 Hour Fitness"",NULL,NULL,NULL,""Water Aerobics Classes"",""Find Your Local 24 Hour Fitness Gym"",NULL,NULL,NULL,""Water Aerobics Classes Help to Build Muscles and Reduce Body Fat. Join Today!"",""Gym Memberships And Personal Training | 24 Hour Fitness"",NULL,NULL,NULL,""Strength"",""fitness-classes"",NULL,NULL,NULL,""Water-Workouts"",""24-hour-fitness"",NULL,NULL,NULL,Completed,"2017-11-17 11:52:39",kennedy
""24 Hour Fitness"",""24 Hour Fitness"",NULL,NULL,NULL,""BODYCOMBAT Classes"",""Find Your Local 24 Hour Fitness Gym"",NULL,NULL,NULL,""Our Fitness Class Helps in Conditioning Your Whole Body. Become a Member Today!"",""Gym Memberships And Personal Training | 24 Hour Fitness"",NULL,NULL,NULL,""Intensity"",""24-hour-fitness"",NULL,NULL,NULL,""Workout-Classes"",""24-hour"",NULL,NULL,NULL,Completed,"2017-11-17 11:48:33",kennedy
""24 Hour Fitness"",""24 Hour Fitness"",NULL,NULL,NULL,""LES MILLS GRIT Workout"",""Find Your Local 24 Hour Fitness Gym"",NULL,NULL,NULL,""LES MILLS GRIT Strength Workout Designed to Build Lean Muscles. Join Today!"",""Gym Memberships And Personal Training | 24 Hour Fitness"",NULL,NULL,NULL,""Intensity"",""24-hour-fitness"",NULL,NULL,NULL,""Workouts"",""24-hour"",NULL,NULL,NULL,Completed,"2017-11-17 11:34:03",kennedy
""24 Hour Fitness"",""24 Hour Fitness"",NULL,NULL,NULL,""Turbo Kick Classes"",""Find Your Local 24 Hour Fitness Gym"",NULL,NULL,NULL,""Turbo Kick Classes Helps to Regain and Maintain Strength. Become a Member Now!"",""Gym Memberships And Personal Training | 24 Hour Fitness"",NULL,NULL,NULL,""Intensity"",""24-hour-fitness"",NULL,NULL,NULL,""Turbo-Classes"",""24-hour"",NULL,NULL,NULL,Completed,"2017-11-17 10:58:21",kennedy
""24 Hour Fitness"",""24 Hour Fitness"",NULL,NULL,NULL,""Boxing Boot Camp"",""24 Hour Fitness Is The Perfect Gym For People Who Want It All:\nThe Best Fitness Classes, Premium Gym Amenities And Much More.\nTry A 24 Hour Fitness Gym Near You."",NULL,NULL,NULL,""Our Boxing Boot Camp Workout Helps to Reshape Your Entire Body. Join Today!"",""Gym Memberships And Personal Training | 24 Hour Fitness"",NULL,NULL,NULL,""Intensity"",""24-hour-fitness"",NULL,NULL,NULL,""Boxing-Camp"",""gyms-near-me"",NULL,NULL,NULL,Completed,"2017-11-17 10:54:12",kennedy
""24 Hour Fitness"",""24 Hour Fitness"",NULL,NULL,NULL,""Cardio Dance Party Workout"",""Find Your Local 24 Hour Fitness Gym"",NULL,NULL,NULL,""This Dance Fitness Class is Fast Paced, Challenging and Fun. Become a Member!"",""Gym Memberships And Personal Training | 24 Hour Fitness"",NULL,NULL,NULL,""Cardio-Dance"",""fitness-classes"",NULL,NULL,NULL,""Workout"",""24-hour-fitness"",NULL,NULL,NULL,Completed,"2017-11-17 10:47:07",kennedy
""24 Hour Fitness"",""24 Hour Fitness"",NULL,NULL,NULL,""Cardio Step Classes"",""24 Hour Fitness Is The Perfect Gym For People Who Want It All:\nThe Best Fitness Classes, Premium Gym Amenities And Much More.\nTry A 24 Hour Fitness Gym Near You."",NULL,NULL,NULL,""Cardio Workout Will Make Your Heart and Lungs Work More Efficiently. Join Today!"",""Gym Memberships And Personal Training | 24 Hour Fitness"",NULL,NULL,NULL,""Cardio-Step"",""24-hour-fitness"",NULL,NULL,NULL,""Classes"",""24-hour"",NULL,NULL,NULL,Completed,"2017-11-17 10:38:59",kennedy
""24 Hour Fitness"",""24 Hour Fitness"",NULL,NULL,NULL,""Strength & Conditioning Class"",""24 Hour Fitness Is The Perfect Gym For People Who Want It All:\nThe Best Fitness Classes, Premium Gym Amenities And Much More.\nTry A 24 Hour Fitness Gym Near You."",NULL,NULL,NULL,""Our Classes are for Everyone Regardless of Fitness Level or Age. Join Today!"",""Gym Memberships And Personal Training | 24 Hour Fitness"",NULL,NULL,NULL,""Class-Category"",""24-hour-fitness"",NULL,NULL,NULL,""Strength-Class"",""gyms-near-me"",NULL,NULL,NULL,Completed,"2017-11-17 10:34:02",kennedy
""24 Hour Fitness"",""24 Hour Fitness"",NULL,NULL,NULL,""Kids Active Play"",""24 Hour Fitness Is The Perfect Gym For People Who Want It All:\nThe Best Fitness Classes, Premium Gym Amenities And Much More.\nTry A 24 Hour Fitness Gym Near You."",NULL,NULL,NULL,""Our Kids Club Attendants Provide Plenty of Games to Get Kids Moving. Join Now!"",""Gym Memberships And Personal Training | 24 Hour Fitness"",NULL,NULL,NULL,""Kids-Club"",""24-hour"",NULL,NULL,NULL,""Active-Play"",""gyms-near-me"",NULL,NULL,NULL,Completed,"2017-11-17 10:21:48",kennedy
""Burt's Bees Treatments"",""Faster Checkout"",NULL,NULL,NULL,""Dark Spot Corrector"",""New Customers"",NULL,NULL,NULL,""Our Brightening Corrector Diminishes the Appearance of Dark Spot. Shop Online!"",""Returning Customers"",NULL,NULL,NULL,""Dark-Spot"",""burt's-bees"",NULL,NULL,NULL,""Corrector"",""Check An Order"",NULL,NULL,NULL,Completed,"2017-11-17 10:16:27",kennedy
""Burt's Bees Treatment"",""Faster Checkout"",NULL,NULL,NULL,""Sensitive Eye Cream"",""Order History"",NULL,NULL,NULL,""Brightening Eye Treatment is Clinically Proven to Visible Results. Shop Online!"",""Returning Customers"",NULL,NULL,NULL,""Sensitive"",""burts-bees"",NULL,NULL,NULL,""Eye-Cream"",""Check An Order"",NULL,NULL,NULL,Rejected,"2017-11-17 10:06:50",kennedy
""Burt's Bees Treatments"",""Returning Customers"",NULL,NULL,NULL,""Intense Hydration Mask"",""Faster Checkout"",NULL,NULL,NULL,""Made with Mafura Butter Which Revitalize Dry and Tired Skin. Order Online Today!"",""Burt's Bees | Home Page"",NULL,NULL,NULL,""Treatments"",""burts-bees"",NULL,NULL,NULL,""Hydration-Mask"",""New Customers"",NULL,NULL,NULL,Rejected,"2017-11-17 09:59:30",kennedy
""Burt's Bees Cleansers"",""Returning Customers"",NULL,NULL,NULL,""Eye Makeup Remover Pads"",""Faster Checkout"",NULL,NULL,NULL,""Our Product Removes All Traces of Makeup & Perfect for Sensitive Skin. Buy Now!"",""Request To Reset Your Password"",NULL,NULL,NULL,""Eye-Makeup"",""burts-bees"",NULL,NULL,NULL,""Remover-Pads"",""Burt's Bees"",NULL,NULL,NULL,Completed,"2017-11-17 09:51:23",kennedy
""Burt's Bees Cleansers"",""Returning Customers"",NULL,NULL,NULL,""Renewal Refining Cleanser"",""Faster Checkout"",NULL,NULL,NULL,""Our Product Contains Nature's Most Powerful Anti-Aging Ingredients. Shop Online!"",""Burt's Bees | Home Page"",NULL,NULL,NULL,""Renewal"",""burts-bees"",NULL,NULL,NULL,""Cleanser"",""Sign In"",NULL,NULL,NULL,Rejected,"2017-11-17 09:46:24",kennedy
""Burt's Bees Classics"",""Returning Customers"",NULL,NULL,NULL,""Peppermint Foot Lotion"",""Faster Checkout"",NULL,NULL,NULL,""Made with Peppermint and Menthol to Revive Your Tired Feet. Shop Online Today!"",""Burt's Bees | Home Page"",NULL,NULL,NULL,""Classics"",""burt's-bees"",NULL,NULL,NULL,""Peppermint"",""Check An Order"",NULL,NULL,NULL,Completed,"2017-11-17 09:41:32",kennedy
""Burt's Bees - Makeup"",""Returning Customers"",NULL,NULL,NULL,""Mineral Blush Makeup"",""Faster Checkout"",NULL,NULL,NULL,""Blush Makeup Blends Easily & Evenly to Enhance Your Cheek's Glow. Shop Now!"",""Burt's Bees | Home Page"",NULL,NULL,NULL,""Blush"",""burt's-bees"",NULL,NULL,NULL,""Makeup"",""Burt's Bees"",NULL,NULL,NULL,Rejected,"2017-11-17 09:34:24",kennedy
""Burt's Bees - New Product"",""Returning Customers"",NULL,NULL,NULL,""Peppermint Lip Balm"",""Faster Checkout"",NULL,NULL,NULL,""Infused with Peppermint Oil and Beeswax to Moisturize & Soften Lips. Buy Now!"",""Request To Reset Your Password"",NULL,NULL,NULL,""Peppermint"",""burt's-bees"",NULL,NULL,NULL,""Lip-Balm"",""Sign In"",NULL,NULL,NULL,Completed,"2017-11-17 09:26:09",kennedy
""Revention POS System Reviews"",""Revention POS Reviews"",NULL,NULL,NULL,""Restaurant & Retail Choices"",""revention-pos-reviews"",NULL,NULL,NULL,""Negative Reviews & Complaints About the Revention POS System. Learn More Now!"",""Revention POS Complaints"",NULL,NULL,NULL,""POS"",""best-pos"",NULL,NULL,NULL,""Grocery-Store"",""grocery-store"",NULL,NULL,NULL,Completed,"2017-11-16 21:23:39",kimjade
""Shearer Painting Service"",""Interior Painting"",NULL,NULL,NULL,""Interior House Painting"",""Forgot Your Details?"",NULL,NULL,NULL,""Certified House Painting Contractor in Seattle Area. Browse Online Now!"",""Seattle House Painting Contractor - Shearer Painting"",NULL,NULL,NULL,""Painting"",""interior-house"",NULL,NULL,NULL,""Prices"",""interior"",NULL,NULL,NULL,Completed,"2017-11-16 21:11:45",msatler6
""Cabinet Painting Services"",""Paint Color Advice"",NULL,NULL,NULL,""Great Color Choices"",""Paint your cabinets"",NULL,NULL,NULL,""Cabinet Painting & Refinishing Solutions. Choose Your Brand New Look Today!"",""Cabinet Painting"",NULL,NULL,NULL,""Painting"",""painted"",NULL,NULL,NULL,""Cabinets"",""painting"",NULL,NULL,NULL,Completed,"2017-11-16 21:11:28",kimjade
""Maryland Home Programs"",""Home Programs"",NULL,NULL,NULL,""Home Mortgage Rates"",""Fueling Home Ownership in MD"",NULL,NULL,NULL,""Home Loan Qualifications in Maryland. Affordable Mortgage Rates. Visit Today!"",""Maryland - Home Loan Qualification - Mortgages"",NULL,NULL,NULL,""Loans"","""",NULL,NULL,NULL,""Pricing"",""am-i-eligible"",NULL,NULL,NULL,Completed,"2017-11-16 20:46:14",msatler6
""Dallas Loan Services"",""Common Home Program Benefits"",NULL,NULL,NULL,""Mortgage Benefits"",""Search FHA Loans By County"",NULL,NULL,NULL,""Home Buyer Qualifications for the Entire Dallas Fort Worth Area. Visit Today!"",""Home Buyer Qualification Options For The Entire Dallas Fort Worth Area."",NULL,NULL,NULL,""Loans"",""home-loan"",NULL,NULL,NULL,""Pricing"",""buy-a-home"",NULL,NULL,NULL,Completed,"2017-11-16 20:44:03",msatler6
""Seattle Painting Contractor"",""House Painting Contractor"",NULL,NULL,NULL,""Established in 1990"",""Paint your Cabinets"",NULL,NULL,NULL,""Residential Painting Services. Interior and Exterior. Request an Estimate Today!"",""Seattle Painted Kitchen Cabinets - Shearer Painting"",NULL,NULL,NULL,""Painting"",""Testimonials"",NULL,NULL,NULL,""Estimates"",""best-exterior"",NULL,NULL,NULL,Rejected,"2017-11-16 20:39:48",niecy84
""New Jersey Loan Programs"",""Home Loan Qualification"",NULL,NULL,NULL,""Mortgage Qualifications"",""New Jersey"",NULL,NULL,NULL,""Affordable Programs for Home Buyers in New Jersey. Visit Our Online Page Now!"",""Home Buyer Programs For Home Buyers In New Jersey."",NULL,NULL,NULL,""Loans"",""best-mortgage"",NULL,NULL,NULL,""Pricing"",""856.334.3089"",NULL,NULL,NULL,Completed,"2017-11-16 20:39:30",msatler6
""Shearer Painting"",""Forgot Your Details?"",NULL,NULL,NULL,""Certified Contractor"",""Create Account"",NULL,NULL,NULL,""Fine European Paints at Shearer Painting. Browse Our Online Selection Today!"",""Fine Paints Of Europe - Shearer Painting"",NULL,NULL,NULL,""Services"",""fine-paints-of"",NULL,NULL,NULL,""Painting"",""Contact Us"",NULL,NULL,NULL,Completed,"2017-11-16 20:37:04",msatler6
""New Jersey Home Loans"",""Home Loan Qualification"",NULL,NULL,NULL,""Get a Home Loans"",""New Jersey"",NULL,NULL,NULL,""If You're Overwhelmed About Buying a House You Need a Guide. Contact Us Today!"",""Home Buyer Programs For Home Buyers In New Jersey."",NULL,NULL,NULL,""Home-Loans"",""best-mortgage"",NULL,NULL,NULL,"""",""856.334.3089"",NULL,NULL,NULL,Rejected,"2017-11-16 20:34:56",luzmaryvillegas1@gmail.com
""Ohio Home Programs"",""Texas Mortgage Qualification"",NULL,NULL,NULL,""Mortgage Qualifications"",""West Texas Home Programs"",NULL,NULL,NULL,""Impressive Home Programs in West Texas. Affordable Mortgage Rates. Visit Now!"",""West Texas Home Programs - Mortgage Qualification"",NULL,NULL,NULL,""Loans"","""",NULL,NULL,NULL,""Pricing"",""best-mortgage"",NULL,NULL,NULL,Completed,"2017-11-16 20:33:33",msatler6
""Tucson Loan Programs"",""2017 Mortgage Information"",NULL,NULL,NULL,""Mortgage Qualifications"",""Mortgage Qualification Info"",NULL,NULL,NULL,""Low Mortgage Rates for Home Buyers in Tucson. Browse Our Quality Services Now!"",""Tucson Fha Loan Qualification Process"",NULL,NULL,NULL,""Loans"",""fha"",NULL,NULL,NULL,""Prices"",""buy-a-home"",NULL,NULL,NULL,Completed,"2017-11-16 20:30:59",msatler6
""Home Loan Services"",""Mortgage Qualification Info"",NULL,NULL,NULL,""Useful Mortgage Information"",""2017 Mortgage Information"",NULL,NULL,NULL,""Affordable Mortgage Rates for Home Buyers in Tucson. Visit Our Site Now!"",""Tucson Fha Loan Qualification Process"",NULL,NULL,NULL,""Loans"",""best-lenders"",NULL,NULL,NULL,""Pricing"","""",NULL,NULL,NULL,Completed,"2017-11-16 20:28:12",msatler6
""Indiana Loan Programs"",""2017 Mortgage Information"",NULL,NULL,NULL,""Mortgage Qualifications"",""Mortgage Qualification Info"",NULL,NULL,NULL,""Excellent Home Buyer Program and Rate Options in Indiana. Visit Our Page Today!"",""Indiana Home Buyer Program Qualification"",NULL,NULL,NULL,""Loans"",""how-much"",NULL,NULL,NULL,""Pricing"",""qualify"",NULL,NULL,NULL,Completed,"2017-11-16 20:26:25",msatler6
""Dallas Home Programs"",""2017 Mortgage Information"",NULL,NULL,NULL,""Mortgage Qualifications"",""Mortgage Qualification Info"",NULL,NULL,NULL,""Competitive Mortgage Rates for Home Buyers in Texas. Visit Our Site Today!"",""Homebuyer-Qualification (Mp) - Dallasfortworthhomeprograms.Com"",NULL,NULL,NULL,""Loans"",""credit-score"",NULL,NULL,NULL,""Rates"",""fha"",NULL,NULL,NULL,Completed,"2017-11-16 20:23:58",msatler6
""Maryland Home Programs"",""Home Programs"",NULL,NULL,NULL,""Easy Home Ownership"",""Fueling Home Ownership in MD"",NULL,NULL,NULL,""Home Loan Qualifications in Maryland. Affordable Mortgage Rates. Visit Today!"",""Maryland - Home Loan Qualification - Mortgages"",NULL,NULL,NULL,""Loans"",""best-lenders"",NULL,NULL,NULL,""Pricing"",""buy-a-home"",NULL,NULL,NULL,Completed,"2017-11-16 20:12:49",msatler6
""Mortgage Programs in Dallas"",""Mortgage Qualification Info"",NULL,NULL,NULL,""Home-Loan Qualifications"",""2017 Mortgage Information"",NULL,NULL,NULL,""Professional Service for Home Buyers in Texas. Visit Our Online Site Today!"",""Dallas Fort Worth Home Programs"",NULL,NULL,NULL,""Programs"",""214.538.8851"",NULL,NULL,NULL,""Home-Buyers"",""how-to-qualify"",NULL,NULL,NULL,Completed,"2017-11-16 20:08:40",msatler6
""Home Buyer Programs"",""Home Buyer Programs"",NULL,NULL,NULL,""Indiana Loan Requirements"",""Indiana Home Loan Requirements"",NULL,NULL,NULL,""Affordable Indiana Home Buyer Program Qualifications. Visit Our Online Page Now!"",""Indiana Home Buyer Program Qualification"",NULL,NULL,NULL,""Mortgages"",""mortgage"",NULL,NULL,NULL,""Pricing"",""home-loan"",NULL,NULL,NULL,Completed,"2017-11-16 20:04:07",msatler6
""Pennsylvania Home Requirements"",""Pennsylvania Home Requirements"",NULL,NULL,NULL,""Professional Loan Service"",""Professional And Timely"",NULL,NULL,NULL,""Reputable Pennsylvania Homes Program Qualifications. Visit Our Online Site Now!"",""Pennsylvania Homes Program Qualification Page - Homepage"",NULL,NULL,NULL,""Loans"","""",NULL,NULL,NULL,""Pricing"",""home-loan"",NULL,NULL,NULL,Rejected,"2017-11-16 20:02:52",msatler6
""Dining Room Tables"",""Dining Room Tables"",NULL,NULL,NULL,""Wide Inventory Available"",""Dining Room Furniture"",NULL,NULL,NULL,""Made in Unique Designs of High-Quality Materials & Craftsmanship. Shop Today!"",""Best Selection. Best Prices. Best Quality. Locally owned and family operated."",NULL,NULL,NULL,""Dining"",""wood-table-and"",NULL,NULL,NULL,"""",""table-and"",NULL,NULL,NULL,Rejected,"2017-11-16 19:53:58",lexylex
""Featured Ocean Tank Exhibit"",""Featured Exhibit"",NULL,NULL,NULL,""Green Sea Turtle"",""Green Sea Turtle"",NULL,NULL,NULL,""Visit Our Spectacular, Four-Story Caribbean Coral Reef. Come See Us Today!"",""Visit our Spectacular, Four-Story Caribbean Coral Reef Today."",NULL,NULL,NULL,""Turtle"",""balloonfish"",NULL,NULL,NULL,""Membership"",""Membership"",NULL,NULL,NULL,Rejected,"2017-11-16 19:52:46",bullock_t
""Wall Entertainment Units"",""Wall Entertainment Units"",NULL,NULL,NULL,""Home Entertainment Centers"",""Home Entertainment"",NULL,NULL,NULL,""Amish Hand-Crafted Furniture with Solid Wood. Visit Us Today!"",""Amish Hand-Crafted Furniture. Solid Wood. Hand-made. Quality."",NULL,NULL,NULL,""Amish_Chairs"",""amish-chairs"",NULL,NULL,NULL,""Furniture"",""amish-furniture"",NULL,NULL,NULL,Completed,"2017-11-16 19:51:09",bullock_t
""Neaq Exhibitions"",""Programs And Classes"",NULL,NULL,NULL,""Adorable Penguins"",""Science Of Sharks"",NULL,NULL,NULL,""Excellent Aquarium, Where You Can See Penguins. Visit Our Friendly Animals Now!"",""Visit the New England Aquarium and Get to Know Our Resident Penguins."",NULL,NULL,NULL,""Animals"",""african"",NULL,NULL,NULL,""Penguins"","""",NULL,NULL,NULL,Rejected,"2017-11-16 19:50:14",msatler6
""Legends Furniture"",""Legends Furniture"",NULL,NULL,NULL,""Huge In-Stock Inventory"",""$537.00\n \n $376.00"",NULL,NULL,NULL,""100% American Made Furniture. Phenomenal Style & Quality. Order Yours Today!"",""Legends Products – Quality Woods Furniture"",NULL,NULL,NULL,""Amish-Chairs"",""amish-chairs"",NULL,NULL,NULL,""Amish-Chests"",""amish-chests"",NULL,NULL,NULL,Completed,"2017-11-16 19:49:51",lexylex
""Pathway to Purchase Tucson"",""Pathway To Purchase Tucson"",NULL,NULL,NULL,""Down Payment Assistance"",""arizona-home-grants"",NULL,NULL,NULL,""Choose a Tucson Payment Plan for a New Home. Let Us Secure a Loan Help Today!"",""Top Tucson Pathway To Purchase"",NULL,NULL,NULL,""Loans"",""0-down-payment"",NULL,NULL,NULL,""Down_Payment"",""20000-down"",NULL,NULL,NULL,Rejected,"2017-11-16 19:48:41",bullock_t
""Dining Room Tables"",""Dining Room Tables"",NULL,NULL,NULL,""Unmatched Craftsmanship"",""Amish Dining Room Furniture"",NULL,NULL,NULL,""Upgrade Your Home with an Exceptional Dining Room Set. Browse Now!"",""Dining Room Tables – Tagged \"Dining-Room-Group-Sets\" – Quality Woods Furniture"",NULL,NULL,NULL,""Dining"","""",NULL,NULL,NULL,""Furniture"",""amish-furniture"",NULL,NULL,NULL,Completed,"2017-11-16 19:47:35",lexylex
